ID,Translation
A312,Intel LPC Controller/eSPI Controller
A313,Intel LPC Controller/eSPI Controller
A314,Intel LPC Controller/eSPI Controller
A315,Intel LPC Controller/eSPI Controller
A316,Intel LPC Controller/eSPI Controller
A317,Intel LPC Controller/eSPI Controller
A318,Intel LPC Controller/eSPI Controller
A319,Intel LPC Controller/eSPI Controller
A31A,Intel LPC Controller/eSPI Controller
A31C,Intel LPC Controller/eSPI Controller
A31B,Intel LPC Controller/eSPI Controller
A31D,Intel LPC Controller/eSPI Controller
A31E,Intel LPC Controller/eSPI Controller
A31F,Intel LPC Controller/eSPI Controller
5AE8,Intel ApolloLake SOC
9CC1,Intel 5th Core(TM) Engineering Sample LPC
9CC2,Intel 5th Core(TM) Engineering Sample LPC Controller
9CC3,Intel 5th Core(TM) Premium SKU LPC Controller
9CC5,Intel 5th Core(TM) Base SKU LPC Controller
9CC1,Intel 5th Core(TM) Engineering Sample LPC Controller
9CC6,Intel Core M ES LPC Controller
9CC7,Intel Core M Premium SKU LPC Controller
9CC9,Intel Core M Base SKU LPC Controller
8D40,Intel X99/C610 Series Chipset
8D41,Intel X99/C610 Series Chipset
8D42,Intel X99/C610 Series Chipset
8D43,Intel X99/C610 Series Chipset
8D44,Intel X99/C610 Series Chipset
8D45,Intel X99/C610 Series Chipset
8D46,Intel X99/C610 Series Chipset
8D47,Intel X99/C610 Series Chipset
8D48,Intel X99/C610 Series Chipset
8D49,Intel X99/C610 Series Chipset
8D4A,Intel X99/C610 Series Chipset
8D4C,Intel X99/C610 Series Chipset
8D4B,Intel X99/C610 Series Chipset
8D4D,Intel X99/C610 Series Chipset
8D50,Intel X99/C610 Series Chipset
8D51,Intel X99/C610 Series Chipset
8D52,Intel X99/C610 Series Chipset
8D53,Intel X99/C610 Series Chipset
8D54,Intel X99/C610 Series Chipset
8D55,Intel X99/C610 Series Chipset
8D56,Intel X99/C610 Series Chipset
8D57,Intel X99/C610 Series Chipset
8D58,Intel X99/C610 Series Chipset
8D59,Intel X99/C610 Series Chipset
8D5A,Intel X99/C610 Series Chipset
8D5B,Intel X99/C610 Series Chipset
8D5C,Intel X99/C610 Series Chipset
8D5D,Intel X99/C610 Series Chipset
8D5E,Intel X99/C610 Series Chipset
8D5F,Intel X99/C610 Series Chipset
0F1C,Intel CalleyView
0683,Intel H410D Chipset
0684,Intel H470 Chipset
0685,Intel Z490 Chipset
0687,Intel Q470 Chipset
0688,Intel B460 Chipset
0689,Intel C256 Chipset
068A,Intel C252 Chipset
068C,Intel QM480 Chipset
068D,Intel HM470 Chipset
068E,Intel WM490 Chipset
0693,Intel QMS480 Chipset
0697,Intel W480 Chipset
069A,Intel H420E Chipset
A3DA,Intel H410 Chipset
A3C8,Intel B460 Chipset
3880,IceLake PCH
3881,IceLake PCH
3882,IceLake PCH
3883,IceLake PCH
3884,IceLake PCH
3885,IceLake PCH
3886,IceLake PCH
3887,IceLake PCH
3888,IceLake PCH
3889,IceLake PCH
388A,IceLake PCH
388B,IceLake PCH
388C,IceLake PCH
388D,IceLake PCH
388E,IceLake PCH
388F,IceLake PCH
3890,IceLake PCH
3891,IceLake PCH
3892,IceLake PCH
3893,IceLake PCH
3894,IceLake PCH
3895,IceLake PCH
3896,IceLake PCH
3897,IceLake PCH
3898,IceLake PCH
3899,IceLake PCH
389A,IceLake PCH
389B,IceLake PCH
389C,IceLake PCH
389D,IceLake PCH
389E,IceLake PCH
389F,IceLake PCH
3480,IceLake SOC
3481,IceLake SOC
3482,IceLake SOC
3483,IceLake SOC
3484,IceLake SOC
3485,IceLake SOC
3486,IceLake SOC
3487,IceLake SOC
3488,IceLake SOC
3489,IceLake SOC
348A,IceLake SOC
348B,IceLake SOC
348C,IceLake SOC
348D,IceLake SOC
348E,IceLake SOC
348F,IceLake SOC
3490,IceLake SOC
3491,IceLake SOC
3492,IceLake SOC
3493,IceLake SOC
3494,IceLake SOC
3495,IceLake SOC
3496,IceLake SOC
3497,IceLake SOC
3498,IceLake SOC
3499,IceLake SOC
349A,IceLake SOC
349B,IceLake SOC
349C,IceLake SOC
349D,IceLake SOC
349E,IceLake SOC
349F,IceLake SOC
0281,Intel CometLake SOC
0280,Intel CometLake SOC
0282,Intel CometLake SOC
0284,Intel CometLake SOC
0285,Intel CometLake SOC
0286,Intel CometLake SOC
0287,Intel CometLake SOC
0288,Intel CometLake SOC
0289,Intel CometLake SOC
028A,Intel CometLake SOC
028B,Intel CometLake SOC
028C,Intel CometLake SOC
028D,Intel CometLake SOC
028E,Intel CometLake SOC
028F,Intel CometLake SOC
0290,Intel CometLake SOC
0291,Intel CometLake SOC
0292,Intel CometLake SOC
0293,Intel CometLake SOC
0294,Intel CometLake SOC
0295,Intel CometLake SOC
0296,Intel CometLake SOC
0297,Intel CometLake SOC
0298,Intel CometLake SOC
0299,Intel CometLake SOC
029A,Intel CometLake SOC
029B,Intel CometLake SOC
029C,Intel CometLake SOC
029D,Intel CometLake SOC
029E,Intel CometLake SOC
029F,Intel CometLake SOC
0283,Intel CometLake SOC
A080,Intel TigerLake SOC
A081,Intel TigerLake SOC
A082,Intel TigerLake SOC
A083,Intel TigerLake SOC
A084,Intel TigerLake SOC
A085,Intel TigerLake SOC
A086,Intel TigerLake SOC
A087,Intel TigerLake SOC
A088,Intel TigerLake SOC
A089,Intel TigerLake SOC
A08A,Intel TigerLake SOC
A08B,Intel TigerLake SOC
A08C,Intel TigerLake SOC
A08D,Intel TigerLake SOC
A08E,Intel TigerLake SOC
A08F,Intel TigerLake SOC
A090,Intel TigerLake SOC
A091,Intel TigerLake SOC
A092,Intel TigerLake SOC
A093,Intel TigerLake SOC
A094,Intel TigerLake SOC
A095,Intel TigerLake SOC
A096,Intel TigerLake SOC
A097,Intel TigerLake SOC
A098,Intel TigerLake SOC
A099,Intel TigerLake SOC
A09A,Intel TigerLake SOC
A09B,Intel TigerLake SOC
A09C,Intel TigerLake SOC
A09D,Intel TigerLake SOC
A09E,Intel TigerLake SOC
A09F,Intel TigerLake SOC
4384,Intel Q570 Chipset
4385,Intel Z590 Chipset
4386,Intel H570 Chipset
4387,Intel B560 Chipset
4388,Intel H510 Chipset
4389,Intel WM590 Chipset
438A,Intel QM580 Chipset
438B,Intel HM570 Chipset
438C,Intel C252 Chipset
438D,Intel C256 Chipset
438E,Intel H310D Chipset
438F,Intel W580 Chipset
4390,Intel RM590E Chipset
4391,Intel R580E Chipset
7A83,Intel Q670 Chipset
7A84,Intel Z690 Chipset
7A85,Intel H670 Chipset
7A86,Intel B660 Chipset
7A87,Intel H610 Chipset
7A88,Intel W680 Chipset
7A89,Intel X699 Chipset
7A8A,Intel W685 Chipset
7A90,Intel R680E Chipset
7A91,Intel Q670E Chipset
7A92,Intel H610E Chipset
7A8C,Intel 6xx Chipset
7A8D,Intel 6xx Chipset
7A8E,Intel 6xx Chipset
7A8F,Intel 6xx Chipset
7A8B,Intel 6xx Locked Chipset
7A82,Intel 6xx Locked Chipset
7A81,Intel 6xx unLocked Chipset
A080,Intel Tiger Lake-LP SOC
A081,Intel Tiger Lake-LP SOC
A082,Intel Tiger Lake-LP SOC
A083,Intel Tiger Lake-LP SOC
A084,Intel Tiger Lake-LP SOC
A085,Intel Tiger Lake-LP SOC
A086,Intel Tiger Lake-LP SOC
A087,Intel Tiger Lake-LP SOC
A088,Intel Tiger Lake-LP SOC
A089,Intel Tiger Lake-LP SOC
A08A,Intel Tiger Lake-LP SOC
